cleaned_text,label
pussy licking pussy.... meow meow  ;  ;,toxic
check out our 12th man.  even with all those faggot ny fans in the stands,toxic
what happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch,toxic
im the bitch okay nudes pat ;;; wow,toxic
"youre fucking gay, blacklisted hoe holding out for  anyway",toxic
the fuck be wrong with these bitches? nobody knows,toxic
yall shut upp make me bitch,toxic
i hate a im pregnant type of bitch.,toxic
got bitches in the dm but i dont ever readem which is y your top 3,toxic
baseball season for the win.  this is where the love started,normal
little stupid as bitch i dont fuck with yoooooouuuu..,toxic
"she really asked me that dead ass serious tho, all i could say was bitch wheet lol",toxic
"im an early bird and im a night owl, so im wise and have worms.",normal
overdosing on heavy drugs doesnt sound bad tonight. i do that pussy shit every day.,normal
pit bulls photographed as lovely fairy tale creatures  they are fairy tale creatures.,normal
"aw. ...fag, dont tweet aw to me lol",toxic
"as long as the lakers trash from now on, i could careless. and thats real.. cc  hahaha",normal
i didnt say anything tho kiss me then faggot,toxic
"this the i play soccer, cheat on girls, and wear khaki coloured cargos haircut  ; yup",normal
i could go for a fat ass bitch on my lap same,toxic
17 missed calls!!!! ;;das yo p.o bitch twitter finna be screamn,toxic
ya side bitch gotta know its rules to this shit..anybody ask you my cousin from jersey thinkin bout moving lmmfao ;;;;,toxic
3  amo los pies  fuck yeah,toxic
these hoes be thinking meat wont slap they ass ;; ainna bruh,toxic
yall bitches wit no edges be doing the most talking ;;;;;;,toxic
yall still going trick or treating this year or nah?hell yeah ima be da sweet tooth bandit steal bitches bags n shit,toxic
i wanna have sex with my mom fuck her right in that pussy where i came from damn you got hacked like fuck,toxic
if she kiss u with her eyes open watch that bitch!lmfao,toxic
you a woulda coulda shoulda ass hoe ;;,toxic
happy bday bitch ass nigga preciate that bitch roll up!,toxic
used to send that bitch up,toxic
ugly bitches be like im my own wcw duh bitch you aint nobody elses;;,toxic
"nigga you know we hacky sack hoes. ...nah, i throw no look passes lmao",toxic
glad im getting outta atlanta. nothing but a bunch of niggas in and outta jail and dumb bitches with mad kids fuckin em.,toxic
this isnt ghetto.....its smart  im doing this idc,normal
i would wife a hoe only cuz we wouldnt care that we cheating in each other. ...why force the relationship in the first place?,toxic
being single isnt an excuse to be a hoe.,toxic
white boy power bitch black power bitch,toxic
"lets get drunk, get blowed, spit shit spark blunts and fuck hoes! bro white dudes have no chill.",toxic
bitch where u been around the world and back. where you been?,toxic
if i dont get my dick sucked at yo party by a bad bitch im fr gone set it off ;;;; by,toxic
is soooo cute. but he probably has hoes on him a lot.,toxic
in every cartoon theirs alway a  saving these hoes lmao.  lmao damn captain saveahoe,toxic
who wants to get there nose in these bad bois then      hot sox and legs,normal
i wish i was a bitch like my brother keezy ; ooooow i bet you do,toxic
if you dressed up as a cat for halloween you are basic. ...or a pussy,toxic
can pornhub just get a gaming stream feature so these dumb bitches can gtfo  get on it katielt;3,toxic
stop being scared to choke her during sex u bitch ass niggas. she;ll like it.. says the guy who hits women out of bed. foh,toxic
ha well iguess i make them hoes loyal bro theyll never be loyal that y they hoes my nig,toxic
"oh man.. its 5 am, you off a molly, ho where the fuck ya seed at??",toxic
youre not a man if you refer to every girl as a bitch,toxic
lmfao this cat started beating the shit out of me my nigga finally got some pussy?!? my nigga!!!,toxic
peel up peel up bring it back up rewind back where im from they move shaq from the line ooooow who tf said that trash!!?,normal
io io alu record ho vine sai pe hahahaha lol anywaaaaaays..... haha,toxic
naw its my old tape. new cover . my upcoming mixtape is  yeah im waiting on that hoe mayne!,toxic
ol dirty foot ass bitches.. this was too funny to me.,toxic
thats where i get my yellow flags for being amazing ;; hell yeah niggy,toxic
dont got time for bitches to be actin iffy.,toxic
come on stay alive knights nation!!!! this is still the early bird special.,normal
these hoes aint loyal ; no they aint  smfh and wonder why nobody decent wants them,toxic
"bruh, you studs keep thinking im soft as hell. ask ya girl how many times she screamed she was my bitch. oh okay. stfu. bye hoe!",toxic
dry pussy bitches always blame it on the condom;;;;;,toxic
shut yo bitch ass up!  ;;,toxic
gucci mane in jail and dropping mixtapes every month and you hoes cant even text back,toxic
you love these hoes more then money wats wrong these niggas,toxic
a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo. ...sounding like me over there lol,toxic
"easy cum, easy hoe thats a fact !",toxic
charlie sheen is too real  major fucking respect for charlie sheen.,toxic
wish i had a bae ; you got all the hoes tho,toxic
fuck twerking bitch can you cook ?,toxic
bitch wtf,toxic
"shut up zoe fight me pussy; for zoe? im good, man. you are good maam. move along now",toxic
lmao fucking snake bitches  em,toxic
big booty hoes everywhere sheesh ; damn ;;;,toxic
stay tuned to  for an update on the report that  1b  will be out 810 weeks,normal
"i play soccer, cheat on girls, and wear khaki coloured cargos haircut  yes lmfao",normal
oregon chokes every year get off the field trash ass program rft,toxic
"def not cowboy lol rt  terrell owens was the best eagle and cowboy ever ..dude cried like a bitch on tv, over romo",toxic
lmfaoooo i hate black people  this is why theres black people and niggers,toxic
how could u do this to me bitch potent,toxic
a pissed lad past out. i would lick his dirty soles while he slept.,normal
love frat boy w soft long soles,normal
sexy lad with hot soles and arches.,normal
nah fam i gotta cheat with the hoes depends on the female i feel,toxic
i got hicks lol,normal
this new twitter is confusing the shit out of me. go back to south america bitch,toxic
toto means ass or vagina?i think pussy cause toto santi is like nasty pussy,toxic
but what if he actually does choose the ugly bitch over you? ;her ass must be fat!,toxic
bitch couldnt kill my vibe if ya tried. ;;; dis why i love miley,toxic
"im tired of bitches saying i look mean.. ; nigga you big af, wear tight shirts, and grim everybody.",toxic
"10 birds your grandkids may never see, thanks to climate change",normal
stay beautiful you bitch,toxic
r purple. ceeeleeeman this gurl was jus playin on the stupid hoe  track. but in still shitted on sum gurls,toxic
money getting taller and bitches getting blurry,toxic
i aint never seen a bitch so obsessed with they nigga; im obsessed with mine ;,toxic
kobe stay talking trash. but lets not forget   i meant to do this one. smh.,toxic
at least im not a nigger  lmfao,toxic
people always asking me what im mixed with. she a bad asian bitch lol,toxic
ariza is a snake and a coward but at least he isnt a cripple like your hero roach lmaoo,toxic
fosters home for imaginary trash; whoa chill that show was everything tf,normal
"i am lowkey tired. ...if you tired, be quiet and go to sleep hoe!",toxic
stop bringing weird niggers into my mentions! ;,toxic
we dont love these hoes ;;,toxic
if yo girl cant have homeboys you a ol weak bitch ass nigga!,toxic
i think worst advice i gave you was  dont be a pussy and speed up lol,toxic
quote this tweet with your favorite animal.pussy,toxic
"i hate when strippers tell you theyre dancers. hoe, ballet dancers dont pop their pussy to beethoven. you a stripper!",toxic
andrewbryant poff has double vision after 2 beers poff ... double pussy ; smh,toxic
"when bitches twerk on the computer.... me in ya ;, in ya damn ;;;",toxic
"prince, this is art.  nobody takin his bitch!",toxic
61 of welfaregovernment aid is claimed by white people. so yall black slander is trash now.,normal
these bitches dont care they just play that role.,toxic
"it took a while for you to find me, but i was hiding in the lime tree.  dis bitch in da wrong tree bro.",toxic
"drakes new shoes that will be released by nikejordan.... yes, theres glitter on the shoes  ....dudes a fag",toxic
inna di ghetto!!! you alone lmaoo,normal
hoes austin; teach us austin.i teach u how to get curved? thats all i know,normal
bitches cant cook but know how to suck dick .. so to the ones that can do both!,toxic
fat hoes get chose lol,toxic
"well theyre hoes,no one expects them to be loyal",toxic
ol bitch ass,toxic
bruh im tired of niggas retweetin miley cyrus naked that bitch aint no types of bad lmaooo,toxic
just because tony romo at the mavs game dont mean he still not a bitch lmao.. fuk them cowgirls lol bitch fuck you,toxic
"holy shit, freddie highmore was in charlie and the chocolate factory me rolls on the floor, laughing",toxic
i dont want to have sex with my gf because i feel like im using her..  anonymous whata faggot,toxic
"one of your followers with this ;;   somebody, bitch if you dont",toxic
if ya bitch always bitching clearly she care! or just an annoying bitch!,toxic
these catfish hoes thinkin they slick.. but niggas catching on ;,toxic
cant worry about a bitch that aint worried bout me,toxic
side hoes are for insecure niggas that cant handle a real one.,toxic
rt  lmao! this bitch come scooting in the tent like she about to fuck some shit up! ;;;,toxic
my cousin said he share hoes with his brothers. he said sharing is caring and he love his brothers ;,toxic
im hungry but ionn wanna spend my money on food;broke hoe problems ;;;;,toxic
dese hoes be lyin to all of us nigga,toxic
oh yeah fuck that bitch,toxic
eli manning just threw his nflleading 27th interception of the season. lmao trash,normal
usc senior rb anthony brown calls head coach steve sarkisian a racist and quits team. ;  hes a bitch,normal
guess what? i also have zero time for your mansplaining! adios! stfu pussy,toxic
chilling ;;  sexy scally lad,normal
i aint sharing no bitch if you mines you mines ;,toxic
money only impress the simple broke bitches,toxic
"will never be anybodys bitch, they dont let people control or change them. rigghhht",toxic
tuku ho idk blah blah blah ;;;,normal
im not mad cuh hahaha suure.. tuku ho ita! ;;,normal
these hoes is crazy,toxic
you aint ever gonna be a slice bitch. kevin hart.,toxic
"oomf so fuckin fine tho ; dam  her, dont be no bitch.",toxic
i wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter she probly sends nudes for fags,toxic
"yeah bitch, yeah bitch, call me _______ a. maybe b. steveo c. later d. jesse pinkman",toxic
hickies in between her thighs right by her pussy gt;gt;gt; its only right,toxic
would you still love me when im no longer young and beautiful? no. ugly monkey ass.,toxic
yall come through the front.bitch i aint coming,toxic
faggot bitch,toxic
"yea, im on my ipad. i dont work this friday. lets ball this faggot up i work 25",toxic
this scally lad would get it,normal
halloween was yesterday stupid nigger,toxic
"chrus still supahot tho walks up to teacher with test, drops test in that bitch fohead",toxic
i love eating pussy lol i never get full lol; i can eat that shit forever lol and ever.,toxic
no slushes ;;hoes nasty anyway fam;;them hoes taste like meds;;;,toxic
no slushes ;;hoes nasty anyway fam;,toxic
bobby bitchby  be getting me live as fuck hell yea i play that hoe before my workout,toxic
yo bitch is gucci mane rt   my bitch a stoner ;;,toxic
i can ride your bitch with no handle bars,toxic
and if you aint a hoe get up out my traphoussseeeee,toxic
15 sad tv character deaths were still bitter over...   stark was the man,normal
these harbor bitches are all party bus hoes lol all?,toxic
pussy love it,toxic
"ultraviolence video, its coming you little bitch!  lana del rey   bitchy promo",toxic
on my way to fuck your bitch  lmfao kittycopter,toxic
a smuggler explains how he helped fighters along the jihadi highway,normal
aww their avis look so cute together ;  ;;; do i gotta get ike avi on this bitch ?,toxic
"its simple, dont be a hoedont worry about being exposed ; fight mewhy ?",toxic
whys this bitch boosting herself  her size isnt exactly the most healthy tho,toxic
bet not be no bitches! ;;;;; ;; kim bye!!!,toxic
damn near gotta protect my tweets.. stalkers being annoying you got that dope dick. drive these bitches loco,toxic
im making marack my girlfriend .  aye b you pullin hoes just like o taught you,toxic
bruno fag boy you love me.,toxic
i must be a bitch; you are ;;; sike naw this why we always beefing ;,toxic
"down 61,  look to rally in the bottom of the 9th.",normal
dont take advantage of a nice person; hoes everyjuan,toxic
happy birthday bitch nigga  thanks pal,toxic
sad knowing that most hoes wont fuck with you bc you aint got stacks. wait till friday,toxic
cinco shit harder fucc niggayee but you fucc wit rich homie cuz dats ya homeboy fucc nicca,toxic
ewww i said that last sunday..as in the last sunday i was there. read it again nigs;;;;;,toxic
i only punch real niggas in the face cause a pussy nigga is gonna punch me right back strong mush or shake..,toxic
my pussy still fresh lt; something stank girls say.,toxic
ass slapping is one the greatest things. haha. ; i slapped a girl on the ass. . she got mad i aint get pussy for a week,toxic
yeah texans are so much better you fucking retard i see that youre mad about this.,toxic
nd wtf is up with dark bitches with blonde.. please have several seats hoe! ..looking like blackandmilds out here,toxic
theres a lane some bitches need to stay in ; the left n get right the fuck outta our face ;;;,toxic
i hate when boys deny that they have bitches ;; smh,toxic
ya nigs out there still saying yall dont eat butt?! with a straight face!,toxic
im a boss ass bitch ...that needs to sit in a corner,toxic
"hes a hoe , i cant",toxic
me and paul thinkin bout gettin rentals for da weekend ;;;oooh shit bitches betta stay out da streets,toxic
bitches hold they nigga down when he get locked up... but if a nigga go to college or the military its a different story. ;,toxic
why do my friends hate me because you a ratchet hoe..,toxic
no love for these fuck niggas hoes,toxic
hot meat  sexy as fuck scally lad. i would love to meet him and his trainers.,toxic
sniff  perved up scally lad. fuck yeah.,toxic
these bitches love sosa,toxic
i legit watched it for about 30 or 40 seconds ;;so did i wtf prob cause were retarded smh,toxic
"what should i name my cat, ideas? mr pussy",toxic
woof woof. sexy thug boy scally.,toxic
u see the damn phone ringing? ;;; when you married bitches makes demands!!!! you havent called me,toxic
tevin is my favorite sophomore i think hes so funny hes really not. lmaoo hes a little hoe,toxic
10 sex positions   this what u call fucking the soul outta bitch ;,toxic
"is bored supposed to be cute, you faggot? sometimes",toxic
one mans trash ; is another mans treasure ;,normal
i dont got no type. bad bitches is the only thing i like iongotnotype,toxic
"lassen cc , the coach wants me i feel it youll get more my nig no doubt",toxic
"god teeth , gold chain white bitches , cocaine",toxic
"its me hoe, its me hoe; shhhhh",toxic
"in d.c., we call them rollers, in chiraq we call them thots. all across america they have been known as a hoe.",toxic
im gonna miss that bitch of a bus driver...no you wont. dont lie,toxic
hate when bitches try and put you in the friendzone. bitch im tryin to score put me in the endzone ;;; on. my. soul!,toxic
ashley young has tried to deny that bird s landed in his mouth gt;   hahaha,normal
yall both gimped up?? aint tht a bitch huh lol,toxic
take me for a ride ;;  woof woof,normal
oh my god i love victoria mitchell all my bitches love me,toxic
that long distance shit wack i knew the bitch was cheating uh oh,toxic
hes doing it right ;;;  no bitches smh,toxic
they ban dat pussy for life and he gotta pay 2.5 millon dollar fine,toxic
"roses are red and violets are blue and niggers are black, you know thats true.",toxic
"sitting on my window sill, window open, bird tries to fly in. smacked it.",normal
"but a nigga gon be a nigga, be a nigga. you sound fuckin retarded",toxic
a video an entire media will likely mock.  i am such a crybaby,normal
im not even shy stfu kikis mom hi angelique  angelique smiles dips cracker in soup,toxic
tim tebow got cut from every team he was on in the nfl and he already got more hoes than me in starkville. smh. ;;;;,toxic
karma is a bitch   ; sips tea,toxic
fuckin hot gym pussy  fuck yeah,toxic
jihadi patron hajjaj alajmi is arrested at kuwait airport,normal
you can call me fireman cause i turn the hoes on.,toxic
i could never have a bby by a lil dick thts y i got a abortion by the last bitch oh my god,toxic
watch women try to argue with me like they have a dick and actually fucked some pussy before i hate when bitches do that,toxic
"and smoke weed in public, fuck cops man, do what you wanna do, they dont own you, run if they come are you retarded?",toxic
tweety bird tho ;;;;,normal
my pussy sweet like watermelon  thotermelon,toxic
when twitter rappers dm me their trash links,normal
loud bitches annoy me,toxic
eventually every bitch turns into that hoe.  truuu,toxic
i swear if oomf try talking to me tomorrow..   pussy,toxic
you bitches be pretending to be tf crazy.. you aint never lied...,toxic
k bye hoe um bye ..,toxic
jackies a retard  at least i can make a grilled cheese!,toxic
ima keep on giving these pussy ass niggas ah reason to hate !,toxic
photo  he is in sole heaven,normal
stacey dash won ;  baddest bitch evaaaa,toxic
side bitch sunday ;;; ;;;,toxic
facts what baldheaded bitch made this shit. ;;;;  lmao ;;,toxic
fuck wit us and then we tweakin hoe shmurda!,toxic
we actin like its the 7th day   ;spook,normal
ill break that lil bitch neck and wont even feel sorry about it savage,toxic
this is so fucking hot!!       love me some kinky scallies,toxic
"yall dumb ass niggas be so pressed to have hoes. yall weak as fuck as fuck ...weed over hoes, oreos too.",toxic
i can turn yo bitch into a eaterrrrrrrrr,toxic
i dont trust dese hoes nikki told 51st where i stay at all my fans screen shot asap we finna come to chiraq and shoot sumn,toxic
aye yall ima tryout for the bowling team frfr; tryouts passed tho no theres two more retard,toxic
now u got what u want bitch ! enjoy it  now this is a crazy party i would love to attend.,toxic
colored contacts in your eyes? blinders on mine. cause i cant see you at all. lmao,normal
facts  only the dudes with hoes say they dont got hoes;,toxic
im rea start smacking bitches period ! bluffin at its best,toxic
"lifes a bitch, and then you die  thats why we get high, cause you neva know when youre gonna go my sister is perfect",toxic
"one of us is on drugs, and its me but youre still wrong ;  hahahahahahah im a bitch sometimes",toxic
im feeling pretty fuckin ghetto smh,toxic
swears im  man easily easily behind austin nip?,normal
this is a true ride or die bitch ;  what the fuck hahahahah,toxic
h.g.wells and charlie chaplin,normal
all i see is brunos bitch ass on my twitter now. wtf brunos all that she sees drake voice,toxic
im about to cool faggot chill tf is cool nigga,toxic
im so sure bitch frfr tf,toxic
"twitter is not a source of news broadcast you fucking retards it is when nbc, abc, cnn, fox, etc are all keeping quiet.",toxic
got a couple bitches saying they know me but i;ma let the money talk for me ;; and im like...,toxic
grudges are for weirdosand bitches,toxic
i told mariam to but cigarettes for her birthday you also called me trash rn,normal
brownies tonight what kind?!?!,normal
"no text back? i dont give a fuck, ill text another bitch damn someone is hurt lol",toxic
ummmmmm okay  you got hoes from left to right ;; do yah thang!,toxic
using ymxb to find the slope of that ass,toxic
fit lads! nice gear!  these scally lads n trainers would get it,normal
hell yeah bro!  fuck yeah sexy scally lad in hot gear,toxic
helping out a mate!!  i love scally play. fuck yeah,toxic
lads being lads!  fuck yeah. i love scally lad action. hot trainers too.,toxic
next year bitches is gonna be like you gotta promise you wont expose me ;;;,toxic
"so hot!! rt  lick it, bitch  fuck yeah. eat that trainer u dirty fucker",toxic
yall think celebrity pussy different from the locals? ;; yeah meghan goods is,toxic
"i saw an ajumma walk out in the beginning saying, wow, this is so trash that i cant even listen to it.. ; lmaoo",normal
need these sox  fuck yeah. i love a kinky scally lad w rank sox and sneaks,toxic
i dont ever expose females like that.. thats childish.. bitch nigga shiiii.....,toxic
yasss trys new things with bestfriend bitch who do you love,toxic
dude remember this wop video?   omg where did you find that,normal
thick raw fuck  damn his man pussy is getting a workout.,toxic
rawr!! rt  my sexy french scally. i love him!   sexy scally woof woof,normal
nothin in life is free.. some of you bitches need to write that on ya panties;;,toxic
if one of you bitches want some of my burrito u can catch me at potosino huh? haha,toxic
niggas whole hoes out here cuz couldnt had said it better..;,toxic
hardcore way to eat mac and cheese 1. boil water  2. snort cheese powder 3. drink boiling water  4. fuck bitches,toxic
if my fade is perpetually fresher than yours. thats a real ass bitch rite there,toxic
annoying bitch that i love  judyanns so pretty!!!!!,toxic
lmao bitch got on some huggies,toxic
hi bitch  no bitch bye bitch,toxic
does he look like a bitch?,toxic
chase money ; not ; hoes ; ;;;;;;,toxic
cant stand a i dont know what i want ass nigga ; bitch,toxic
im on my way  love a hot sexy scally fucker.,toxic
these newly gay bitches dont kno how shit works,toxic
when a bitch dont want a real job they just become strippers lol lol.,toxic
awww meat meat in his feelinsi ainn n my feelings bitch,toxic
"i want snake bites , my industrial piercin and a tattoodem hoe accessories dea ;;;;",toxic
baby albino ;,normal
these hoes aint loyal.,toxic
"yassssss, ordered chinese ; bitch you just ate tacos you fat fuck",toxic
i made that bitch lunch.  bitches love lunch.,toxic
"a no brainer but as soon as this bitch gets rich in political power, her views will change! political whores!",toxic
a pussy a day keeps the devil away,toxic
aint that about a bitch... what does that mean?,toxic
"all these bitches want a baby, i dont want no children.",toxic
and bitch you must be lost ;;,toxic
baby i like being on your left side no bitch you cant be there cuz the street on that side and twitter said i aint real if you do,toxic
bae sounds like such a ghetto word. use something else,normal
"batter the wee cunt jewis y cos he fucked my ex? emma isnt battering the girls ive nailed?ive moved on,stop being a pussy n do it urself.",toxic
bleed out hoe!!! alexa,toxic
boolin in the bando wit a few bitches,toxic
brownies for my brownie i love this movie. ;,normal
but i need a bad bitch thats hotter than me might be the realist shit partynextdoor ever said. thats how i be feelin everyday,toxic
by the way we do punch bitches.,toxic
caesar is home rt  ;  so much this bitch looks like. lets start with ape shit;;;,toxic
"chinese maverick we were communicating comrade , u know giving the imperialist yanks the birdie",normal
dad say hi to my snapchat  dad ;;;; duces bitch ;;;;,toxic
"do you believe these hoes are not in fact loyal? i disagree with that, i do believe they are in fact the loyalest bunch,these hoes",toxic
dont know no ugly bitches! dont know no broke niggas!,toxic
dont make me make you fall in live with a nigga like meee... the birds 1and2 are my favorite songs by weeknd,toxic
"dont worry about the nigga you see, worry about the nigga you dont see... dats da nigga fuckin yo bitch.",toxic
"dont you ever give my pussy away. you keep it tight, alright?",toxic
dropped a stack cause bitch im on.   song called dope. download the mixtape here,toxic
dumb bitches do dumb things,toxic
eat the pussy like a real nigga hungry,toxic
eff it. lets go after the cripple.,toxic
everything look better with a bitch next to it,toxic
facto  who cares if you a hoe when your ass looks like this?,toxic
for every bad bitch there is a nigga tired of fucking her,toxic
"foreign chick, no lie.. man that bitch beautiful",toxic
fresh nigga so you kno i need a clean bitch... who kno im working cuz i wanna see my team rich.,toxic
fuck 50 i make my own rules. suck my dragon balls bitch call me goku,toxic
generate ascii boxes with nodejs all i see is the ability to bring flappybird in node via ascii tubes and bird _,normal
get me that shit bitch you is fine bear,toxic
get your ass back to detroit ya fuckin wigger!,toxic
"girls that i dated, its okay i aint mad yo, unless you stabbed me in the heart, no love hoe",toxic
how do you know my twitter password bitch please,toxic
have you seen my shows? have you seen my hoes? if i wasnt hot would they be so thick?,toxic
he a bitch for hitting that hoe ;;;;;;;;;,toxic
he married to a white woman... lucky sumbitch  uncle ruckus,toxic
"he wanna be my nigga, but im just trinna be his savings account ; ;;;; omg imma funny ass bitch man, but thats real shit ;",toxic
"her great grandmas a hoe,her grandmas a hoe,her moms and a hoe, and shes a hoe! its a long line of hoes! grandpa carl everyone",toxic
hey go look at that video of the man that found the kidnapped girls in ohio........what a nigger,toxic
hey pussy you still there?,toxic
how about we draft all those gungho folks and send them to afghanistan or other war zones so they can show their...,normal
how hotter than is it? a bitch.,toxic
how u talking to hoes bout bro n em.. why you talking to hoes bout bro n em,toxic
"how you doing, crazy bitch? is hilarious!",toxic
"i know my shoes dirty as fuck, whatever, bitch. you dont have to call! like, negro... one of the first things they look at is shoes, dog",toxic
i am a thrill billy..with a hillbilly heart. . hahahahaha jesus murphy!,normal
i call him my bitch,toxic
i cant handle no liquor... but these bitches cant handle meeedd  chief sosa,toxic
i dont chase after dudes... i chase after bitches.  edgar bautista,toxic
"i dont love these hoes, baby its me and you forever",toxic
"i dont even need a picture of tamar, that bitch is beat in every picture;;;;;",toxic
i dont have hoes ;,toxic
i found a new way to chug you have to open your mouth alot,normal
i fucking hate that bitch so much i wanna smack her in the face then tongue kiss her,toxic
i got a bitch set it off like jada picket..queen latifah you riding round with your nieces bitch you titi,toxic
