cleaned_text,label
i was a right sector supporter but it starts to sound as if they are in fact just israeli agents ......,normal
i do nt know who to support anymore ................,normal
ive read many post on here saying israel gives training to us law enforcement .,normal
i remember after the boston marathon bombings watching fox news and they said law enforcement was consulting israel for advice .,normal
i believe his dog would like to get as far away from him as possible !,normal
free north carolina  peterson s particulars vikinginme,normal
"so according to section c , what few jobs there are in our areas will be given to these people as well thanks for posting this .",normal
greece need a man like adolf hitler and now is the perfect time to start a national political movement to free your country from the zionist bankers,toxic
the image below is for the first week of march 2011. freeman in court  judge bows to sovereign  canada youtube  freeman in court  judge bows to sovereign  canada,normal
i do nt watch t.v. or hollywood movies .,normal
i know of chris rock and subsequently have hated him for a long time .,normal
he is a pathetic little chimp .,toxic
declaring war on the innocent white population of any nation could easily be justified by anyone who was not a white nationalist .,normal
"seekers of truth , start out by watching the  benjamin freedman speaks  video  youtube .",normal
"comwatch ? v  hxbcyx97jgm then move on to watching ,  the loss of liberty  film  youtube .",normal
comwatch ? v  kbd6gm6vodm then watch 8 min. obama at aipac  youtube .,normal
comwatch ? v  krdycxpb4fs and then the entire myron fagan video  youtube .,normal
comwatch ? v  6ok6ks7bsoy for a free informative booklet  video on the zionistengineered intentional destruction of white people go to  youtube .,normal
comwatch ? v  n663evtsys8,normal
note!,normal
"wntube is now .net , not .com.",normal
they have improved the site .,normal
please contribute andor donate .,normal
vid  1428  code  108,normal
try el paso texas soo much mudd invasion that the river is the same color as those playingcrossing in it .. year round !,toxic
welcome to the front lines ...,normal
"folk , faith , family hail victory !!",normal
"here is a video of the event that is worth watching just to see a beautiful white lady screaming  scum , scum , scum , f    ing scum !!!  at the muslim filth .",toxic
protesters clash during military parade in barking,normal
does this not show how stupid these folks can be ?,normal
"let s order a pizza to be delivered where we are and then try to assault the driver , no one will know how to catch us .",normal
nice to know that are still a few men out there who  have a pair  .,normal
your courage and honestly are apprecated .,normal
jesus christ is lord indeed .,normal
y all have a nice day .,normal
"i suppose the concept of a male cow and a female cow producing more cows , and the repeating process is too much for them to understand .",toxic
may they all get mad cow disease .,toxic
the sooner the better .,normal
"yeah, but no one will ever hear of this .",normal
instead we are left to shed a tear for the black kids killed in a church bombing 40 years ago .,normal
thats all i needed to hear .,normal
unsubscribed  off to the sa threads .,normal
there are white folks that require a little of our time .,normal
i guess mr. pena forgot about the black speed skater who won the gold and is being glorified on nbc every 5 minutes .,normal
im sad to find this out right now but i m also sorry to inform you that kevin was killed several years ago .,normal
im having a hard time believing this .,normal
i have 2 friends in cs and neither has ever worked with a black .,normal
"all their coworkers are white , ne asian or indianpaki , except one guy worked with a mestizo for a few weeks on a project .",normal
"hundreds of people , but no blacks !",normal
"i also attended a mastersphd graduation ceremony at a major state university a few years ago  none of the cs degrees were awarded to blacks.  a couple computer degrees went to blacks , but they were in it with a focus on internet marketingwebcommerce  so where are all these black computer geniuses hiding ?",normal
"over and over , you hear about homeschooled kids beating out public school kids for spelling bees .",normal
"unfortunately , there are some poor white families where both parents work .",normal
"perhaps if a school district has only a few white families left , they could get together and each parent could teach the kids one day per week .",normal
the parents who could nt teach on weekdays could teach on saturday .,normal
that was me .,normal
i have no intention of ever setting foot in mexico so i ll have to take your word for it .,normal
excellent article !!      why were nt they in jail ?,normal
"three of the four suspects in the death of a 12yearold moore county girl were repeat offenders , free on probation .",normal
steve reed reporter three of the suspects charged with the murder of a 12year old moore county girl were given suspended sentences for other crimes and were free on probation at the time of her slaying .,normal
"perry ross schiro , 19 , of harnett county was charged yesterday with murder in the sept. 21 shooting death of emily elizabeth haddock .",normal
he is the fourth suspect to be charged with her murder .,normal
"also charged are sherrod nicholas harrison , 19 , michael graham currie , 18 , and van roger smith , 16 , all of cameron in harnett county .",normal
"two of the suspects , mr. harrison and mr. currie , were repeat probation violators .",normal
only mr. smith had no prior criminal record .,normal
"mr. schiro , the latest suspect to be charged in the killing , was arrested when a .22caliber handgun , possibly the murder weapon , was found in his car .",normal
"he was also charged with burglary , larceny and possession of stolen property .",normal
all four suspects are being held without bond in the moore county jail .,normal
the rest of the story,normal
"nevermind, found the new page knew it had to be a groid .... any report of rape ?",toxic
surprised it came back so fast ...,normal
"obama has membership in prince hall  for blacks  lodge and will become the next president , according to this guy   youtube   ? v  _ nlfrsregii  zagami  youtube",normal
they act as if negros with aids should have the right to reproduce when they will die off and have no way to take care of the kid i cant believe that they are doing this by the millions its crazy,toxic
good.,normal
i hope they all starve .,toxic
no white person should send a single penny or lift a single finger to help them .,toxic
"hes a retarded feral negro  yes , feral humans who cannot talk occasionally pop up , having been abandoned as children.  .",toxic
"he walks upright , and has human arms and legs .",toxic
i ve seen negroes who look  and undoubtedly act  like him .,toxic
aragorn,normal
"again, every time i will see filthy comment about georgia without providing any facts , i will respond .",normal
i will respond until armenian scum will stop,toxic
"the reason large white families were encouraged those days was to build up the population of white germans , which were ravaged by the jewish attacks at them during ww1 and in hyperinflation 1920 s .",normal
i see a nation where i can walk out my front door and not feel like a minority in my own country .,normal
where a white woman can go about in public and not fear assault by muds .,toxic
"no, i see that as giving up .",normal
"i hope one day to proudly say again that i am an american , when we take this country back .",normal
btl,normal
"ok, i have been through some of the other threads on this section about ns and watched a few videos on yt .",normal
it has obviously been misunderstood and i would been keen to learn more .,normal
i retract  always .... always because an animal lacks the skills to properly raise a  half  human child .,toxic
i apologize for my ignorance .,normal
baby steps .,normal
"i do nt think anyone is insinuating that we are equal to non whites , or that we would ignore white nations .",normal
when most whites today have so much white guilt laid upon them that they feel they have to act black or have sexual relations and children with blacks just to be accepted there is a problem with the white race memo .,toxic
these people have no idea about who they are or where they came from and any knowledge that they do have has guilt attached to it .,normal
if whites did have some knowledge and a little more recognition was put out there i think most of them would feel a little more pride of who they are and stick to the white race .,normal
there should not be problems between the different classes inside the race white since we are all whites they should be joined to fight against nonwhites they are our enemies .,toxic
if a person is white and he is a christian or a pagan then i consider him as my brother or sister no matter whatever profession he is into .,normal
can you give any examples of progress made by skinheads or the klan ?,normal
seems to me they are in precipitous decline .,normal
ive been around here for four years and seen almost no class divide .,normal
"i dont really like even talking about it , because i fear we will create a division where there is none .",normal
black womenon london transport ...,toxic
"racist woman rant in london part 1  youtube original racist black girls fighting , south london railway balham to mitcham 18.11.2011  youtube",normal
"quotetrotis;10497843isnt south african chocolate made by overseas companies based in sa ?  british and swiss  would a  mars bar  taste different made in sa compared to one in england ?  quote  i would have thought so too , but the stuff tastes different .",normal
i think it has something to do with the type of sugar or where the sugar was originally grown .,normal
btw  i do nt recall seeing a mars bar in s.a ?,normal
i never drink diet anything either because of the aspartame and water is for the fish .,normal
"i try to avoid the gmo stuff too , but since they do nt label the stuff it s hard to do .",normal
and then you need to avoid high fructose corn syrup  bad for you and made from gm corn .,normal
you also need to avoid anything soya .,normal
and then there is the pesticides on your fresh  ?  fruit and veggies .,normal
and the nonedible chemicals in the processed and sometimes not so processed food .,normal
in the end the only safe thing to eat is grass if you are lucky enough to have your own garden  or grow your own food if you have the space  and hope to hell the government here does nt do chemical spraying .,normal
"hell , the way we are deliberately poisoning ourselves i m surprised we have lasted this long !",normal
"if not kept in check , we may very will be living in an actual planet of the apes soon .",toxic
youtube    ; kenya  hacked to death by panga in front of film crew   ;  rlm ;,normal
racist attack by blacks on a young white girl in france .,normal
negro holding the camera laughs with glee  dailymotion  agression raciste contre une jeune fille blanche  france  une vidéo news  politics,normal
what happens when popeye s runs out of chicken youtube  popeyes freakout  ghetto vers .,normal
"2.0   does contain alot of profanity , so you have been forewarned",normal
negro rainforest  music .,normal
"if you click the video , the video comments are full of selfhating whites   youtube  baka rainforest people yodellers",normal
what the ...,normal
"nonmuslim michigan high school students wear hijabs in school for class lesson to  explore religion and identity   pamela geller , atlas shrugs",normal
i have nt been able to finish watching even one of these videos .,normal
as soon as i hear them uttering their monkey gibberish i feel like smashing my computer screen with my fist .,toxic
that would be too expensive .,normal
thanks.,normal
i hope this will catch on like the 14 words .,normal
if anyone wants to post it in other forums feel free to do so .,normal
"it is very hard for average whites to see their own disenfranchisement , let alone realize that it is planned .",normal
this is because much of the disenfranchisement is by way of destroying white cultural identity and pride .,normal
so contributing and participating in any way to opportunities to instill pride in white ethnic heritage and even white american ethnic heritage will go a long way in helping them recognize what is being taken away .,normal
pffffft!,normal
"ive seen that crap too , and thought wtf ?",normal
i can picture him as that baby monkey on the  save the rainforest comercial or whatever,toxic
the only thing holding us back are our traitors and the 40billion antieuropean people of the earth that flourished on our technology .,normal
"thanks for saving the picture but the one i saw was a black guy looking at a laptop and a white girl sitting next to him , laughing and hanging on him also looking at the laptop but they did nt show what was on the laptop .",normal
they were in a living room sitting on the couch implying that they were a couple .,normal
its really sad how so many whites just dont even care and there actually happy that this is coming to be .,normal
theres more sex and sleaze condensed on the shelves of the check out line than you ll get in 2 hours of tv  and 2 hours of tv is lethal to your spirit !,normal
"and her husband is tom brady , this goodlooking white nordic guy  here s a photo of them with their  white  children",normal
i actually celebrate black history month .,normal
i have a dream  one of these days black occupation of america will be history !,toxic
"pathological killers , they are .",toxic
jews have been poisoning wells since biblical times .,toxic
no wonder we are in such bad shape with this tribe in charge of the white house and congress .,toxic
the jew represents the snake .,toxic
all you need is to cut off it s head and the rest of the problems will crumble away with ease,toxic
"i hate to see such beautiful white females become victims of these sick , violent merciless animals .",toxic
separation is the only answer !,toxic
white power !,normal
white americans and white europeons have too few children .,normal
other than the amish no other group of whites have large families .,normal
honestly the better idea is private schools for our people ; the average parent is a poor teacher .,normal
the muslims have ultra strict racialist private schools the world over ; why do nt whites ?,normal
while they are in prison the kikes should get the same food the regular prison population gets ...,toxic
who the hell cares if its not kosher ...,toxic
this is nt the local 4 diamond hilton situated on some sunny beach ...,normal
"ive felt anger when i ve read it on forum , but we have to do our part and speaking at loud voice this fact , because , for example , i m from europe and this fact is not pased on tv news or in the news paper ... knows your enemies is the first pass for vicory on them !",toxic
we dont care about alaska while it is not white land .,normal
we are more concerned about zog controlling us and russia .,toxic
"why do nt white europeans and americans grow a set of balls , and deport these black and brown animals from their countries ?",toxic
"another eurorus update , more video and photos !  gvideo   ? docid  5268894597794277031  gvideo  a fascinating conversation between dr. alfred vierling  dr. duke !",normal
"kris roman , jan kristel , dr. alfred vierling , dr. david duke , thiery van roy , frederik ranson , andreas thierry , stephanos gekas .",normal
robert steuckers and dr. david duke gunther van den eynde en dr. david duke eurorus 2008 !,normal
"eurorus еврорусь for a great europe , from gibraltar to vladivostok !",normal
what would you have done instead ?,normal
"ignore the genocide on serbs , turn your back on your own people .",normal
then you are a traitor .,normal
"ivan ivanovich shishkin , january 25 , 1832 march 20 , 1898  иван иванович шишкин  felling of forest , 1867 landscape with a lake at the seashore , 1890  sketch  birch grove , 1896 view at a neighborhood of petersburg , 1856 swiss landscape , 1866 forest on the eve of thunderstorm , 1872 oak forest in a grey day , 1873  sketch  swamp .",normal
"woodlands , 1890 rain in an oak forest , 1891",normal
"finns mixed with swedes and got blond hair and blue eyes , but ethnical finn look like tatar  dark hair , dark eyes , short height , round face .",normal
the reasons  alcoholism takes around 150000 lives every year .,normal
aids  around 20000 every year .,normal
emmigration  around 50000100000 per year .,normal
heart diseases  around 100000 per year .,normal
high mortality rate  like country is at war .,normal
lowest birthrate in world .,normal
"attaboy , putin .",normal
"if i were in the audience , i d clap till my hands were numb .",normal
that s telling worthless s.o.b.s like cheney what they can do with their cheap words and crocodile tears .,normal
i have long loved tchaikovsky ballets and mussorgsky operas and now i enjoy russian traditional music as well .,normal
"i just bought two cd s featuring the russian radio chorus orchestra , orchestra vladimir avramow , and st. petersburg balaika ensemble playing such songs as st. petersburg , why should i be sad , dark night , the long way , wolga , so many days , nastassja , two guitars , fields , haida trojka , bandura , tschubtschik , troika , the cossack , our little village , stenka rasin , and many others .",normal
"i was recently in zaporojie , ukraine , which has a famous cossack enclave , where i had the opportunity to dine at a cossack restaurant and listen to traditional cossack music played live .",normal
listening to this music brings back memories of all my visits to russia and ukraine .,normal
oh so we cannot post on this subject because at this moment in time we are not in the same area as you .... whatever so i will wait maybe untill next spring when i go to lodz and jp should wait untill he starts school this winter in bratislava then can we post ?? ......... please sir,normal
"i keep telling people about things like this , and they never believe me .",normal
i want to show them this thread .,normal
this is great !,normal
it was until kveldulf saw fit to open it up again with his unnecessary comments .,normal
i have to go to work now .,normal
hispanic a woman threw her 2 12yearold granddaughter several stories to her death from a walkway at a shopping mall  negro   police arrested a 17yearold who they said burglarized a home over the thanksgiving weekend .,normal
"jacksonville police said brian williams broke into the home on braddock road while the family was out of town and baked brownies , drank orange juice , surfed porn websites and loaded up the victim s car with bottles of liquor .",normal
sex male race  black d.o.b  08241950 height  5  11 weight  180 eye  brown hair black in custody for  001 misdemeanor count of criminal trespass 2nd deg this dude looks like an olde version of cornielious from  planet of the apes  !,toxic
lol,normal
"you can have your site on odins rage but host your picture and zip files somewhere else like geocities.com , cause odins rage doesnt give much room .",normal
"dont want to ruin the spirit of the mood , but are nt russians for the most part orthodox christian , and they have a different day for christmas ?",normal
"i think it is january 6th or 7th , not the same as us .",normal
because the communist party was almost all jew out to kill any gentile that stood in their way or had property that the jew  communist wanted .,toxic
"couple befriend negroid , negroid tries to burn down couples home  nnn reporters newsroom forum moblie couple says neighbor tried to set their apartment on fire reported by  irika sargent last update  425 9  01 pm moblie couple says neighbor tried to set their apartment on fire  local15tv.com , mobile  pensacola news , entertainment , videos , business search and shopping this is what happens when you make friends with spearchuckers .",toxic
"coach accused of fondling student student s mother alerts deputies after finding note posted  monday , march 8 , 2010 updated  9  42 am est march 9 , 2010    pedophile alert    robert bennett.",normal
just got turned on to a website from a friend of mine .,normal
shows some interesting statistics about the jew rats ...,toxic
its sort of like the black computer genius that only appears with any ubiquity on television or in the cinema .,normal
"i know they re probably out there , but i ve never met a black it professional who was nt exclusively in sales .",normal
have you ever heard about death mask of franco ?,normal
"one day i have seen it on ebay , but i m not sure about authenticity of the mask .",normal
is this group in sweden genuine or are they thieves who steal money but never send the goods you order ?,normal
can any swedish comrades tell me about them ?,normal
"she is white but looks somewhat below average for a white swedish girl , i think .",normal
why do the swedes hide their best looking females ?,normal
i must just say before this thread possibly dies that i have great fear that without action the cause will die along with the rise of multiculturatism,normal
"my norwegian uncle has been visiting , and he has shared with us some things about christmas celebrated in norway ...",normal
interesting .,normal
"i also have been talking to a person from denmark , and i learned about gingerbread , dancing around the tree , and the various customs of jul  dinner , place presents under the tree , desert , dance around tree , open presents  .",normal
"i found it to be pretty interesting , and i hope you all had a gædelig jul !",normal
ca nt wait until tomorrow !,normal
i had actualy written th epost for last summer but had to cancel my trip ... so it is 2005 !!! ok every body cool ?  l  shann 2508,normal
"lol, ok i give up i just had never heard that specific word before and it was nt in my dictionary .",normal
and since i m not really sture allén or horace engdahl i ca nt say if it s in svenska akademins ordlista .,normal
i think some of you are a bit wrong on this one since our race is our nation when will you learn ?,normal
it makes me so damn angry that the swedes ca nt see it !!!,normal
the blacks and browns are detroying sweden and nobody does anything about it !  madex  madex  madex,toxic
"the only thing manipulated here are the minds of few foreigners , who reckon they can live amongest superiour , pagan blood .",toxic
what say you of jotunheim ?,normal
do you have any figures on this ?,normal
i m pretty sure that tens of billions are sent abroad every year even though 50   stays in sweden .,normal
"hmm... let s try again , viewing by number of asylum seekers per 1,000 population .",normal
these are much more important in my estimation .,normal
"for instance , the u.s. lets in about 900,000 people legally every year , while canada lets in about 225,000 .",normal
"however , in percapita rates , u.s. legal immigration is at about 3 per 1,000 annually , while for canada it s about 7 .",normal
"thus , shockingly , canada may actually achieve a nonwhite majority before the u.s. does .",normal
"denmark  2.3  2001  , 1.1  2002  , 0.9  2003  , 0.6  2004  .  assuming population of 5.4 million  good job denmark !",toxic
let s see it get down to zero !,normal
"norway  3.3  2001  , 3.9  2002  , 3.5  2003  , 1.8  2004  .  assuming population of 4.5 million  sweden  2.6  2001  , 3.7  2002  , 3.5  2003  , 2.6  2004  .  assuming population of 8.9 million  iceland is at about 0.2 .",normal
"finland , however , used to be very low , but it s now higher than denmark and nearly as high as norway .",normal
"by per capita takeins , norway was the worst in 2001 , but apparently the norwegians cracked down in 2004 and they re now lower than sweden s rate .",normal
that is good news when i was in norge ..,normal
the only blacks i saw were somalies .. and they re a cross mix of black and arabs .,normal
"no, it s not possible .",normal
read the earlier posts and see that there are still lots of nonwhites coming to denmark .,normal
i do nt dare to look at them !,normal
you should see what my grandma s hair looked like 50 years ago ...,normal
"eldritch and myself went early to the harbour , but all the boats were cancelled on account of rough weather .",normal
"one day , brother ... one day .",normal
ive seen on the web he is making a new horror film called  it waits  but cant find that much about it,normal
i thought they agreed they wouldn t do the salem march this year because his parents didn t want the media attention ?,normal
"why, are you afraid that your son might come and find you drunk in a bar 20 years later and try to kill you or something ...",normal
"damn, finland is closing in on sweden in this poll !",normal
but you are most welcome anyway ugric _ warspirit .,normal
i get what your saying and there are thousands of non irish here who will never contribute anything to this land .,toxic
the folk im talking about have been shoulder to shoulder with me for a long time and i will continue to show loyalty and respect to them as they have more than earned it 828,normal
"unless you are a tourist or here the study for a year or two please just go back russian , we dont need or want more slavs",toxic
what a load of crap.water are ye people for real ireland is been taken over by non irish and this rubbish .,toxic
i hate the word racist it makes people being called racist think that they are doing something wrong when they the immigrants coming here are doing something wrong,toxic
reminds me of an old joke .,normal
"whats the difference between st. patrcks day , and martin luther king day ? ........................... on st. patricks day every body wishes they are irish .",normal
im sorry that many people in my country are stupid .,normal
they feel the need to close down a prison full of terroris  people who aided in the killing of our soldiers and scatter them all around the world. ??????????????????,normal
and the poles decide to up and leave therefore devastating the irish economy as every man and his dog are telling us what are the potential ramifications for our welfare scrounging visitors from far ashore ?,normal
"no i was asking for a link for were it says their banning the celtic cross , but thanks for the link i ll check it out .",normal
cheers,normal
if they have some marches and what not about showing pride in their culture you guys should go out and do the same if you could try and contact people you know in different cities and see if their willing to do the same .,normal
"good luck noremorsenoregrets , hopefully its good news about your job and lets hope you dont become another figure in a stat !",normal
"i posted a thread in stormfront ireland the week before about english hooligans slashing an irish mans throat , the thread dissappeared without explanation .",normal
a crude drawing of a swastika on a wall with spraypaint will only make neutral people associate nazi s with common lowlife scum .,normal
can a mod also change the thread title so it says the 10th ? dont want people showing up 10 days late,normal
watching those videos makes me feel like im going to explode with hatred for those creatures .,toxic
a feel a mix of intense hate and depression that we have let things degenerate so far .,normal
from what i know they re almost exclusively nigerian asylum seekers .,normal
"they have a few of their own shops , a food shop by the bustrain station and a clothes shop where they sell fubu and other assorted gangsta rap crap .",normal
this filth is a sectarian british song not an irish folk song the sort of scum who wrote and admire this filth have no place on a wn forum yet alone an irish forum,toxic
thanks for that limerickpit i have put that on my planner no doubt it will be a total destoration of the facts !!,normal
"during the early punk scene , he was always seen decked out in a union flag blazer , then all a sudden , an instant nationality transplant .",normal
well done at least someone is getting off their arse and taking action rather then sitting behind a computer being a cyber warrior.i hope others will follow suit,normal
so if a fellow white man rapes my daughter or kills my brother i should let it go because he is white ?,normal
its a disgrace my sister has been on the waiting list for 6 years and their giving away houses to these scumbags,toxic
most of the info on this site is out of date but it has some interesting information on the groupsorgs that have come and gone over the years .,normal
the younger limerick crowd say the gangs from moyross are in regular fights with the poles they go around in tens and when they meet all hell breaks lose its very like in east germany with the poles and working class irish .,normal
"i was away for the weekend that is why i did get around to posting my blood group  i do nt see why i should bother anyway  btw , i am in blood group  o",normal
the church of ireland archbishop of dublin has called for an amnesty for immigrants who have been in ireland for five years or more without their status being resolved .,normal
thanks it may not seem like much but just puting one of those leaflets up on a noticeboard gets a lot of people talking .,normal
"no it is not a joke , we have a very high standard education system here in ireland ..",normal
it is as good as anywhere in the world ..,normal
"thankfully, the c.w. campout will go ahead this year .",normal
"unfortunately , we missed out last year but this year s occasion will definitely make up for it .",normal
"beautiful scenery , music , campfire and good , true company .",normal
looking forward to it !,normal
"regards , draiodoir .",normal
"i read recently in cold black and white print that there was around 10,000 nigerians in ireland ... now you say close to 300,000 ????!",normal
is this true ?,normal
these people who want foreign aid increased are the same people who walk past irish people living rough on the streets and they do nt care about the old people who the government ignores .,normal
16,normal
"i had a few of the cds and gave them all away , let me see if i can get you a copy !!!!",normal
dont think you supremacists would ever be able to build up the force of resistance that irish republicans did mate .,normal
look on in jealousy !!! 2508,normal
"lie, lie , lie !!!",normal
irish men are sooooooo beautiful !!!!,normal
"i love their darker hair , their skin , their eyes !",normal
they are stunning !!  kiss  2056,normal
the article says they went into mainstream schooling so i think that must have played a role in it.the drugs were proscribed to them for health problems,normal
there is an active community here  you just need to get off the net to find it .,normal
use pm to get in touch .,normal
how could you begin to tell people that all this multi cultural stuff is wrong without being hated on by our fellow people ?,normal
yeah it was the same way when i was going to school in calgary. the problem is they have like 8 kids where we only have about 12 children usually .,normal
are only chapter right now is in the fraser valley near vancouver but were looking to open chapters all over canada .,normal
some natives were driving around in a truck a few years ago .,normal
nothing unusual about that except it said on the back window .,normal
"work harder white boy , my brother needs a new truck  .",normal
true story,normal
put the kids in a ophanage and arrest the whore of a mother to a point of not having more biracial kids 8 kids have to suffer all their lives to due a whore,toxic
"there are other  games  , similar to the first you described , eg  1  fifa , and 2  the british fa ......",normal
"btw im led to believe that football  soccer  was invented in somalia , in about 1066 ad .",normal
"pigs bladders were not used there , and the footballs were made from camels doings .",normal
like i said earlier the english have been subjected to a far worse campaign of indoctrination than the rest of us .,normal
"i have to admit i do nt think i ve ever met a briton ??? and i am english , so you must know something that i do nt know ??? , good for you .",normal
"what i do know is that i live on a small island and it seems that a lot of people from various countries in the world are willing to desert their homelands and their families just to come here , in my mind that tells me a lot about said people and their home countries , most of all it highlights their weaknesses of how their own countries have let them down and how they feel the need to feed off somebody elses country , how should we english interpret this without sounding rude ??? , locust ??? , parasite ??? , you tell me .",toxic
i base this post on the fact that i live a few hundred yards from the house i was born in and have never felt the desire to suck the milk from anything other than an english nipple .,normal
my mind s eye  small faces  youtube,normal
i would not even use anything that man says winston churchill is the reason we are in this mess in the first place the bastard should have been shot,normal
i think they have .,normal
i have this vision of a left christian screeching  the meek shall inherit the earth  as a member of the peaceful religion goes a chopping .... humour .,normal
what do i know ? ?!!!!! ...,normal
why would you want to see this pollution spread further into our gene pool ?,toxic
thank the gods she has chosen to go with her own kind .,toxic
"i have just followed the link for the bdp , tried to check the policies only to be shown a lot of latin that translates as total gobbledegook !",normal
hacked website ?,normal
a happy st. david s day to all of our welsh compatriots !,normal
"from your one time enemies , and now eternal allies , the english",normal
today i had an assembly on diversity and how we should embrace other cultures and learn about them .,normal
not one mention about burns night our own culture .,normal
re what is happening in our schools ?,normal
simple truth is that sadly they are preparing them for the only future that marxism offers,normal
dont be ridiculous !,normal
"so you advocate independence , just to join another sovereign nation  as wales would be in this hypothetical scenario  ?",normal
indeed.,normal
the op has gone to sunnier climes for a couple of weeks so i ll close this now and explain to him on his return ....,normal
dont care much for football these days and sincerely hope that the team called england get a hiding but i will be wearing my new serbia shirt during the tournament.come on serbia do us proud !,normal
"is anyone else fed up with people using the so called race card against you ? if so , tell us about it",normal
no i will not be buying guns and bullets .,normal
and it s not my fault the bnp is run by a gangster .,normal
yeah iam from edinburgh and i when i was at secondary school my classes where full of blacks and pakis and half them could hardly speak english .,normal
"i do this and the looks i get out of disgust are regular but i happily carry on walking and laugh them off , they think showing me a few pictures of negro kids on a poster without a burger is going to make me want to give money to them ?",normal
ye i heard that one to. or  we all came from africa any way so why dose it matter  ........ my answer ?  we evolved to be better,toxic
yes it is dying down the only way we could beat our problem is by voting for bnp in the next election,normal
hello to all my friends here on the forum .,normal
"well , the warm weather is coming in and guess what , i now have to painstakingly endure all the offspring of these immigrants , africans , foeigners  im putting them all because there is that many of them  all playing out the front of the flats in the small garden area , screeching and shouting and their hyena pitched laughing .",toxic
"there is a sign up , placed by the council , stating  no ball games  , so what are they doing , yes playing football .",normal
"playing with their scooters , bikes and other noisy toys right outside our windows .",normal
can hardly hear our tv .,normal
it got so bad that i literally sat outside with our dog  he was on a lead  .,normal
they all p     d off and stayed up their end with that stupid look on their faces .,normal
i sat there for 5 minutes and then took the dog for a walk .,normal
"there must have been about 10 of them , all black , and others coming in to join them .",normal
there was not one white child amongst them .,normal
oh yes and to round it all off we have new neighbours moved in .,normal
foreign of course .,normal
i had to open the landing window earlier because the stench of their cooking was overpowering .,normal
thankyou all for allowing me to vent as i feel so angry .......,normal
he wrote the truth and you dont know if he is white or not as none knows who post here is a confirmed white .,normal
on the other hand point to anything he posted as not to be the absolute truth .,normal
"every time i see a black security guard they are either sat down or on the phone , they have no proffesionalism whatsoever .",toxic
"yes, more homosexual degeneracy foisted upon the silent majority .",toxic
dare to speak out in a country with supposed free speech and you re labelled a bigot !,normal
absolutely ridiculous .,normal
hey i m not really new to browsing the forums but i ve only just got his account and have decided to become more active online and in day to day life .,normal
"if you follow the cycle of water , what we drink has already been down the toilet a few times , so it s nothing new .",normal
agree with barrrytheanglosaxon with many points ... oh !,normal
english team are 100  white ...,normal
"and one of thing i like in football , among football fans many white patriots right wing ultras rus  youtube",normal
"i cant understand why people in britain loves so much to breed with non whites , it keeps me shocking when i go there .",normal
i have never seen such thing in any other country .,normal
something mysterious must be happening there,normal
didnt you just say we re all going to die off anyway ... but its ok because more white people are going to replace us ?,normal
coming right up .,normal
there s sugar in the bowl and lemon on the side .,normal
it s a pleasure to make your acquaintance madam .,normal
is it a competition on tv to get the most alien looking black and to put them with a white woman ?,normal
"in light of who  brings it up  i would imagine that , like all their other claims and accusations , this is wildly exaggerated .",normal
do you mean ......,normal
