text,label,cleaned_text
Free North Carolina : Peterson 's particulars VikingInMe,noHate,free north carolina  peterson s particulars vikinginme
"So according to section C , what few jobs there are in our areas will be given to these people as well Thanks for posting this .",noHate,"so according to section c , what few jobs there are in our areas will be given to these people as well thanks for posting this ."
Greece need a man like Adolf Hitler and now is the perfect time to start a national political movement to free Your country from the zionist bankers,hate,greece need a man like adolf hitler and now is the perfect time to start a national political movement to free your country from the zionist bankers
The image below is for the First Week of March 2011. freeman in court - judge bows to Sovereign - Canada YouTube - freeman in court - judge bows to Sovereign - Canada,noHate,the image below is for the first week of march . freeman in court  judge bows to sovereign  canada youtube  freeman in court  judge bows to sovereign  canada
I do n't watch T.V. or Hollywood movies .,noHate,i do nt watch t.v. or hollywood movies .
I know of Chris Rock and subsequently have hated him for a long time .,noHate,i know of chris rock and subsequently have hated him for a long time .
He is a pathetic little chimp .,hate,he is a pathetic little chimp .
Declaring war on the innocent White Population of any nation could easily be justified by anyone who was not a White Nationalist .,noHate,declaring war on the innocent white population of any nation could easily be justified by anyone who was not a white nationalist .
"Seekers of Truth , Start out by watching the `` Benjamin Freedman Speaks '' video @ youtube .",noHate,"seekers of truth , start out by watching the  benjamin freedman speaks  video  youtube ."
"com/watch ? v = hXBcyX97jGM then move on to watching , `` The Loss of Liberty '' film @ youtube .",noHate,"comwatch ? v  hxbcyxjgm then move on to watching ,  the loss of liberty  film  youtube ."
com/watch ? v = kBD6Gm6VoDM Then watch 8 min. Obama at AIPAC @ youtube .,noHate,comwatch ? v  kbdgmvodm then watch  min. obama at aipac  youtube .
com/watch ? v = KrdyCxpB4fs And then the entire Myron Fagan video @ youtube .,noHate,comwatch ? v  krdycxpbfs and then the entire myron fagan video  youtube .
com/watch ? v = 6OK6ks7BSOY For a FREE informative BOOKLET & video on the Zionist-engineered INTENTIONAL destruction of White people go to : youtube .,noHate,comwatch ? v  okksbsoy for a free informative booklet  video on the zionistengineered intentional destruction of white people go to  youtube .
com/watch ? v = n663eVTSyS8,noHate,comwatch ? v  nevtsys
Note!,noHate,note!
"Wntube is now .net , not .com.",noHate,"wntube is now .net , not .com."
They have improved the site .,noHate,they have improved the site .
Please contribute and/or donate .,noHate,please contribute andor donate .
http://www.wntube.net/play.php ? vid = 1428 & code = 108,noHate,vid    code
Try El Paso Texas Soo much mudd invasion that the river is the same color as those playing/crossing in it .. year round !,hate,try el paso texas soo much mudd invasion that the river is the same color as those playingcrossing in it .. year round !
Welcome to the front lines ...,noHate,welcome to the front lines ...
"Folk , Faith , Family Hail Victory !!",noHate,"folk , faith , family hail victory !!"
"Here is a video of the event that is worth watching just to see a beautiful White lady screaming `` scum , scum , scum , f * * * ing scum !!! '' at the muslim filth .",hate,"here is a video of the event that is worth watching just to see a beautiful white lady screaming  scum , scum , scum , f    ing scum !!!  at the muslim filth ."
Protesters Clash during Military Parade in Barking,noHate,protesters clash during military parade in barking
Does this not show how stupid these folks can be ?,noHate,does this not show how stupid these folks can be ?
"Let 's order a pizza to be delivered where we are and then try to assault the driver , no one will know how to catch us .",noHate,"let s order a pizza to be delivered where we are and then try to assault the driver , no one will know how to catch us ."
Nice to know that are still a few men out there who `` have a pair '' .,noHate,nice to know that are still a few men out there who  have a pair  .
Your courage and honestly are apprecated .,noHate,your courage and honestly are apprecated .
Jesus Christ is Lord indeed .,noHate,jesus christ is lord indeed .
Y' all have a nice day .,noHate,y all have a nice day .
"I suppose the concept of a male cow and a female cow producing MORE cows , and the repeating process is too much for them to understand .",hate,"i suppose the concept of a male cow and a female cow producing more cows , and the repeating process is too much for them to understand ."
May they all get mad cow disease .,hate,may they all get mad cow disease .
The sooner the better .,noHate,the sooner the better .
"Yeah, but no one will ever hear of this .",noHate,"yeah, but no one will ever hear of this ."
Instead we are left to shed a tear for the black kids killed in a church bombing 40 years ago .,noHate,instead we are left to shed a tear for the black kids killed in a church bombing  years ago .
That's all I needed to hear .,noHate,thats all i needed to hear .
* Unsubscribed * Off to the SA threads .,noHate,unsubscribed  off to the sa threads .
There are White folks that require a little of our time .,noHate,there are white folks that require a little of our time .
I guess Mr. Pena forgot about the black speed skater who won the gold and is being glorified on NBC every 5 minutes .,noHate,i guess mr. pena forgot about the black speed skater who won the gold and is being glorified on nbc every  minutes .
I'm sad to find this out right now but I 'm also sorry to inform you that Kevin was killed several years ago .,noHate,im sad to find this out right now but i m also sorry to inform you that kevin was killed several years ago .
http://www.visioncircle.org/archive/003870.html,noHate,
I'm having a hard time believing this .,noHate,im having a hard time believing this .
I have 2 friends in CS and neither has EVER worked with a black .,noHate,i have  friends in cs and neither has ever worked with a black .
"All their coworkers are white , NE asian or indian/paki , except one guy worked with a mestizo for a few weeks on a project .",noHate,"all their coworkers are white , ne asian or indianpaki , except one guy worked with a mestizo for a few weeks on a project ."
"Hundreds of people , but no blacks !",noHate,"hundreds of people , but no blacks !"
"I also attended a Masters/PhD graduation ceremony at a major state university a few years ago - none of the CS degrees were awarded to blacks. [ a couple computer degrees went to blacks , but they were in IT with a focus on internet marketing/web-commerce ] So where are all these black computer geniuses hiding ?",noHate,"i also attended a mastersphd graduation ceremony at a major state university a few years ago  none of the cs degrees were awarded to blacks.  a couple computer degrees went to blacks , but they were in it with a focus on internet marketingwebcommerce  so where are all these black computer geniuses hiding ?"
"Over and over , you hear about home-schooled kids beating out public school kids for spelling bees .",noHate,"over and over , you hear about homeschooled kids beating out public school kids for spelling bees ."
"Unfortunately , there are some poor White families where both parents work .",noHate,"unfortunately , there are some poor white families where both parents work ."
"Perhaps if a school district has only a few White families left , they could get together and each parent could teach the kids one day per week .",noHate,"perhaps if a school district has only a few white families left , they could get together and each parent could teach the kids one day per week ."
The parents who could n't teach on weekdays could teach on Saturday .,noHate,the parents who could nt teach on weekdays could teach on saturday .
That was me .,noHate,that was me .
I have no intention of ever setting foot in Mexico so I 'll have to take your word for it .,noHate,i have no intention of ever setting foot in mexico so i ll have to take your word for it .
Excellent Article !! * * * * * Why Were n't They In Jail ?,noHate,excellent article !!      why were nt they in jail ?
"Three of the four suspects in the death of a 12-year-old Moore County girl were repeat offenders , free on probation .",noHate,"three of the four suspects in the death of a yearold moore county girl were repeat offenders , free on probation ."
Steve Reed Reporter Three of the suspects charged with the murder of a 12-year old Moore County girl were given suspended sentences for other crimes and were free on probation at the time of her slaying .,noHate,steve reed reporter three of the suspects charged with the murder of a year old moore county girl were given suspended sentences for other crimes and were free on probation at the time of her slaying .
"Perry Ross Schiro , 19 , of Harnett County was charged yesterday with murder in the Sept. 21 shooting death of Emily Elizabeth Haddock .",noHate,"perry ross schiro ,  , of harnett county was charged yesterday with murder in the sept.  shooting death of emily elizabeth haddock ."
He is the fourth suspect to be charged with her murder .,noHate,he is the fourth suspect to be charged with her murder .
"Also charged are Sherrod Nicholas Harrison , 19 , Michael Graham Currie , 18 , and Van Roger Smith , 16 , all of Cameron in Harnett County .",noHate,"also charged are sherrod nicholas harrison ,  , michael graham currie ,  , and van roger smith ,  , all of cameron in harnett county ."
"Two of the suspects , Mr. Harrison and Mr. Currie , were repeat probation violators .",noHate,"two of the suspects , mr. harrison and mr. currie , were repeat probation violators ."
Only Mr. Smith had no prior criminal record .,noHate,only mr. smith had no prior criminal record .
"Mr. Schiro , the latest suspect to be charged in the killing , was arrested when a .22-caliber handgun , possibly the murder weapon , was found in his car .",noHate,"mr. schiro , the latest suspect to be charged in the killing , was arrested when a .caliber handgun , possibly the murder weapon , was found in his car ."
"He was also charged with burglary , larceny and possession of stolen property .",noHate,"he was also charged with burglary , larceny and possession of stolen property ."
All four suspects are being held without bond in the Moore County Jail .,noHate,all four suspects are being held without bond in the moore county jail .
The Rest Of The Story,noHate,the rest of the story
"Nevermind, found the new page Knew it had to be a groid .... any report of rape ?",hate,"nevermind, found the new page knew it had to be a groid .... any report of rape ?"
Surprised it came back so fast ...,noHate,surprised it came back so fast ...
http://www.wral.com/news/local/story/1850536/,noHate,
"Obama has membership in Prince Hall ( for blacks ) lodge and will become the next president , according to this guy : [ youtube = http://www.youtube.com/watch ? v = _ nLfRsReGII ] Zagami [ /youtube ]",noHate,"obama has membership in prince hall  for blacks  lodge and will become the next president , according to this guy   youtube   ? v   nlfrsregii  zagami  youtube"
they act as if negros with aids should have the right to reproduce when they will die off and have no way to take care of the kid I cant believe that they are doing this by the millions its crazy,hate,they act as if negros with aids should have the right to reproduce when they will die off and have no way to take care of the kid i cant believe that they are doing this by the millions its crazy
Good.,noHate,good.
I hope they all starve .,hate,i hope they all starve .
No white person should send a single penny or lift a single finger to help them .,hate,no white person should send a single penny or lift a single finger to help them .
"He's a retarded feral negro ( yes , feral humans who cannot talk occasionally pop up , having been abandoned as children. ) .",hate,"hes a retarded feral negro  yes , feral humans who cannot talk occasionally pop up , having been abandoned as children.  ."
"He walks upright , and has human arms and legs .",hate,"he walks upright , and has human arms and legs ."
I 've seen negroes who look ( and undoubtedly act ) like him .,hate,i ve seen negroes who look  and undoubtedly act  like him .
http://www.occultopedia.com/f/feral_children.htmhttp://www.ling.lancs.ac.uk/chimp/la...E4/4kamala.htmhttp://www.occultopedia.com/w/wildpeter.htm Aragorn,noHate,aragorn
"Again, every time I will see filthy comment about Georgia without providing any facts , I will respond .",noHate,"again, every time i will see filthy comment about georgia without providing any facts , i will respond ."
I will respond until Armenian scum will stop,hate,i will respond until armenian scum will stop
"The reason large white families were encouraged those days was to build up the population of white Germans , which were ravaged by the jewish attacks at them during WW1 and in hyperinflation 1920 's .",noHate,"the reason large white families were encouraged those days was to build up the population of white germans , which were ravaged by the jewish attacks at them during ww and in hyperinflation  s ."
I see a nation where I can walk out my front door and not feel like a minority in my own country .,noHate,i see a nation where i can walk out my front door and not feel like a minority in my own country .
Where a white woman can go about in public and not fear assault by muds .,hate,where a white woman can go about in public and not fear assault by muds .
"No, I see that as giving up .",noHate,"no, i see that as giving up ."
"I hope one day to proudly say again that I am an American , when we take this country back .",noHate,"i hope one day to proudly say again that i am an american , when we take this country back ."
BTL,noHate,btl
"OK, I have been through some of the other threads on this section about NS and watched a few videos on YT .",noHate,"ok, i have been through some of the other threads on this section about ns and watched a few videos on yt ."
It has obviously been misunderstood and i would been keen to learn more .,noHate,it has obviously been misunderstood and i would been keen to learn more .
I retract - always .... Always because an animal lacks the skills to properly raise a ( half ) human child .,hate,i retract  always .... always because an animal lacks the skills to properly raise a  half  human child .
I apologize for my ignorance .,noHate,i apologize for my ignorance .
Baby steps .,noHate,baby steps .
"I do n't think anyone is insinuating that we are equal to non whites , or that we would ignore white nations .",noHate,"i do nt think anyone is insinuating that we are equal to non whites , or that we would ignore white nations ."
When most whites today have so much white guilt laid upon them that they feel they have to act black or have sexual relations and children with blacks just to be accepted there is a problem with the white race memo .,hate,when most whites today have so much white guilt laid upon them that they feel they have to act black or have sexual relations and children with blacks just to be accepted there is a problem with the white race memo .
These people have no idea about who they are or where they came from and any knowledge that they do have has guilt attached to it .,noHate,these people have no idea about who they are or where they came from and any knowledge that they do have has guilt attached to it .
If whites did have some knowledge and a little more recognition was put out there I think most of them would feel a little more pride of who they are and stick to the white race .,noHate,if whites did have some knowledge and a little more recognition was put out there i think most of them would feel a little more pride of who they are and stick to the white race .
There should not be problems between the different classes inside the race white since we are all whites they should be joined to fight against non-whites they are our enemies .,hate,there should not be problems between the different classes inside the race white since we are all whites they should be joined to fight against nonwhites they are our enemies .
If a person is white and he is a Christian or a Pagan then i consider him as my brother or sister no matter whatever profession he is into .,noHate,if a person is white and he is a christian or a pagan then i consider him as my brother or sister no matter whatever profession he is into .
Can you give any examples of progress made by skinheads or the Klan ?,noHate,can you give any examples of progress made by skinheads or the klan ?
Seems to me they are in precipitous decline .,noHate,seems to me they are in precipitous decline .
Ive been around here for four years and seen almost no class divide .,noHate,ive been around here for four years and seen almost no class divide .
"I dont really like even talking about it , because I fear we will create a division where there is none .",noHate,"i dont really like even talking about it , because i fear we will create a division where there is none ."
Black ``women''on London transport ...,hate,black womenon london transport ...
"Racist woman rant in London part 1 - YouTube ORIGINAL Racist Black Girls Fighting , South London Railway Balham to Mitcham 18.11.2011 - YouTube",noHate,"racist woman rant in london part   youtube original racist black girls fighting , south london railway balham to mitcham ..  youtube"
"[QUOTE=Trotis;10497843]Isn't South African chocolate made by overseas companies based in SA ? ( British and Swiss ) Would a `` Mars bar '' taste different made in SA compared to one in England ? / QUOTE ] I would have thought so too , but the stuff tastes different .",noHate,"quotetrotis;isnt south african chocolate made by overseas companies based in sa ?  british and swiss  would a  mars bar  taste different made in sa compared to one in england ?  quote  i would have thought so too , but the stuff tastes different ."
I think it has something to do with the type of sugar or where the sugar was originally grown .,noHate,i think it has something to do with the type of sugar or where the sugar was originally grown .
BTW - I do n't recall seeing a Mars Bar in S.A ?,noHate,btw  i do nt recall seeing a mars bar in s.a ?
I never drink diet anything either because of the aspartame and water is for the fish .,noHate,i never drink diet anything either because of the aspartame and water is for the fish .
"I try to avoid the GMO stuff too , but since they do n't label the stuff it 's hard to do .",noHate,"i try to avoid the gmo stuff too , but since they do nt label the stuff it s hard to do ."
And then you need to avoid High Fructose Corn Syrup - bad for you and made from GM corn .,noHate,and then you need to avoid high fructose corn syrup  bad for you and made from gm corn .
You also need to avoid anything Soya .,noHate,you also need to avoid anything soya .
And then there is the pesticides on your fresh ( ? ) fruit and veggies .,noHate,and then there is the pesticides on your fresh  ?  fruit and veggies .
And the non-edible chemicals in the processed and sometimes not so processed food .,noHate,and the nonedible chemicals in the processed and sometimes not so processed food .
In the end the only safe thing to eat is grass if you are lucky enough to have your own garden ( or grow your own food if you have the space ) and hope to hell the government here does n't do chemical spraying .,noHate,in the end the only safe thing to eat is grass if you are lucky enough to have your own garden  or grow your own food if you have the space  and hope to hell the government here does nt do chemical spraying .
"Hell , the way we are deliberately poisoning ourselves I 'm surprised we have lasted this long !",noHate,"hell , the way we are deliberately poisoning ourselves i m surprised we have lasted this long !"
"If not kept in check , we may very will be living in an actual Planet of the Apes soon .",hate,"if not kept in check , we may very will be living in an actual planet of the apes soon ."
YouTube - & #x202a ; Kenya - Hacked to death by panga in front of film crew & #x202c ; & rlm ;,noHate,youtube   xa ; kenya  hacked to death by panga in front of film crew  xc ;  rlm ;
Racist attack by blacks on a young white girl in France .,noHate,racist attack by blacks on a young white girl in france .
Negro holding the camera laughs with glee : Dailymotion - Agression raciste contre une jeune fille blanche - France - une vidéo News & Politics,noHate,negro holding the camera laughs with glee  dailymotion  agression raciste contre une jeune fille blanche  france  une vido news  politics
What happens when Popeye 's runs out of chicken YouTube - Popeyes Freakout ( Ghetto Vers .,noHate,what happens when popeye s runs out of chicken youtube  popeyes freakout  ghetto vers .
"2.0 ) * Does contain alot of profanity , so you have been forewarned *",noHate,"does contain alot of profanity , so you have been forewarned"
Negro rainforest `` music ''.,noHate,negro rainforest  music .
"( If you click the video , the video comments are full of self-hating whites ) : YouTube - BAKA RAINFOREST PEOPLE YODELLERS",noHate,"if you click the video , the video comments are full of selfhating whites   youtube  baka rainforest people yodellers"
What the ...,noHate,what the ...
"Non-Muslim Michigan High School students wear hijabs in school for class lesson to `` explore religion and identity '' | Pamela Geller , Atlas Shrugs",noHate,"nonmuslim michigan high school students wear hijabs in school for class lesson to  explore religion and identity   pamela geller , atlas shrugs"
I have n't been able to finish watching even one of these videos .,noHate,i have nt been able to finish watching even one of these videos .
As soon as I hear them uttering their monkey gibberish I feel like smashing my computer screen with my fist .,hate,as soon as i hear them uttering their monkey gibberish i feel like smashing my computer screen with my fist .
That would be too expensive .,noHate,that would be too expensive .
Thanks.,noHate,thanks.
I hope this will catch on like the 14 words .,noHate,i hope this will catch on like the  words .
If anyone wants to post it in other forums feel free to do so .,noHate,if anyone wants to post it in other forums feel free to do so .
"It is very hard for average Whites to see their own disenfranchisement , let alone realize that it is planned .",noHate,"it is very hard for average whites to see their own disenfranchisement , let alone realize that it is planned ."
This is because much of the disenfranchisement is by way of destroying White cultural identity and pride .,noHate,this is because much of the disenfranchisement is by way of destroying white cultural identity and pride .
So contributing and participating in any way to opportunities to instill pride in White ethnic heritage and even White American ethnic heritage will go a long way in helping them recognize what is being taken away .,noHate,so contributing and participating in any way to opportunities to instill pride in white ethnic heritage and even white american ethnic heritage will go a long way in helping them recognize what is being taken away .
Pffffft!,noHate,pffffft!
"Ive seen that crap too , and thought WTF ?",noHate,"ive seen that crap too , and thought wtf ?"
I can picture him as that baby monkey on the ' save the rainforest comercial or whatever,hate,i can picture him as that baby monkey on the  save the rainforest comercial or whatever
The only thing holding us back are our traitors and the 40billion anti-european people of the earth that flourished on our technology .,noHate,the only thing holding us back are our traitors and the billion antieuropean people of the earth that flourished on our technology .
"Thanks for saving the picture but the one I saw was a black guy looking at a laptop and a White girl sitting next to him , laughing and hanging on him also looking at the laptop but they did n't show what was on the laptop .",noHate,"thanks for saving the picture but the one i saw was a black guy looking at a laptop and a white girl sitting next to him , laughing and hanging on him also looking at the laptop but they did nt show what was on the laptop ."
They were in a living room sitting on the couch implying that they were a couple .,noHate,they were in a living room sitting on the couch implying that they were a couple .
Its really sad how so many whites just don`t even care and there actually happy that this is coming to be .,noHate,its really sad how so many whites just dont even care and there actually happy that this is coming to be .
There's more sex and sleaze condensed on the shelves of the check out line than you 'll get in 2 hours of TV - and 2 hours of TV is lethal to your spirit !,noHate,theres more sex and sleaze condensed on the shelves of the check out line than you ll get in  hours of tv  and  hours of tv is lethal to your spirit !
"And her husband is Tom Brady , this good-looking White Nordic guy : Here 's a photo of them with their ( white ) children :",noHate,"and her husband is tom brady , this goodlooking white nordic guy  here s a photo of them with their  white  children"
I actually celebrate Black History Month .,noHate,i actually celebrate black history month .
I have a dream - one of these days Black occupation of America will be history !,hate,i have a dream  one of these days black occupation of america will be history !
"Pathological killers , they are .",hate,"pathological killers , they are ."
Jews have been poisoning wells since Biblical times .,hate,jews have been poisoning wells since biblical times .
No wonder we are in such bad shape with this tribe in charge of the White House and Congress .,hate,no wonder we are in such bad shape with this tribe in charge of the white house and congress .
The Jew represents the snake .,hate,the jew represents the snake .
All you need is to cut off it 's head and the rest of the problems will crumble away with ease,hate,all you need is to cut off it s head and the rest of the problems will crumble away with ease
"I hate to see such beautiful white females become victims of these sick , violent merciless animals .",hate,"i hate to see such beautiful white females become victims of these sick , violent merciless animals ."
Separation is the only answer !,hate,separation is the only answer !
White Power !,noHate,white power !
White Americans and White Europeons have too few children .,noHate,white americans and white europeons have too few children .
Other than the Amish no other group of whites have large families .,noHate,other than the amish no other group of whites have large families .
Honestly the better idea is private schools for our people ; the average parent is a poor teacher .,noHate,honestly the better idea is private schools for our people ; the average parent is a poor teacher .
The muslims have ultra strict racialist private schools the world over ; why do n't whites ?,noHate,the muslims have ultra strict racialist private schools the world over ; why do nt whites ?
While they are in prison the kikes should get the same food the regular prison population gets ...,hate,while they are in prison the kikes should get the same food the regular prison population gets ...
Who the hell cares if its not kosher ...,hate,who the hell cares if its not kosher ...
This is n't the local 4 diamond Hilton situated on some sunny beach ...,noHate,this is nt the local  diamond hilton situated on some sunny beach ...
"i've felt anger when i 've read it on forum , but we have to do our part and speaking at loud voice this fact , because , for example , i 'm from europe and this fact is not pased on tv news or in the news paper ... knows your enemies is the first pass for vicory on them !",hate,"ive felt anger when i ve read it on forum , but we have to do our part and speaking at loud voice this fact , because , for example , i m from europe and this fact is not pased on tv news or in the news paper ... knows your enemies is the first pass for vicory on them !"
We dont care about Alaska while it is not white land .,noHate,we dont care about alaska while it is not white land .
We are more concerned about ZOG controlling US and Russia .,hate,we are more concerned about zog controlling us and russia .
"Why do n't White Europeans and Americans grow a set of balls , and deport these Black and brown animals from their countries ?",hate,"why do nt white europeans and americans grow a set of balls , and deport these black and brown animals from their countries ?"
"Another EuroRus update , more video and photos ! [ gvideo ] http://video.google.com/videoplay ? docid = 5268894597794277031 [ /gvideo ] A Fascinating Conversation Between Dr. Alfred Vierling & Dr. Duke !",noHate,"another eurorus update , more video and photos !  gvideo   ? docid    gvideo  a fascinating conversation between dr. alfred vierling  dr. duke !"
"Kris Roman , Jan Kristel , Dr. Alfred Vierling , Dr. David Duke , Thiery Van Roy , Frederik Ranson , Andreas Thierry , Stephanos Gekas .",noHate,"kris roman , jan kristel , dr. alfred vierling , dr. david duke , thiery van roy , frederik ranson , andreas thierry , stephanos gekas ."
Robert Steuckers and Dr. David Duke Gunther Van Den Eynde en Dr. David Duke Euro-Rus 2008 !,noHate,robert steuckers and dr. david duke gunther van den eynde en dr. david duke eurorus  !
"Euro-Rus Евро-Русь For a great Europe , from Gibraltar to Vladivostok !",noHate,"eurorus  for a great europe , from gibraltar to vladivostok !"
http://www.eurorus.org/,noHate,
What would you have done instead ?,noHate,what would you have done instead ?
"Ignore the genocide on Serbs , turn your back on your own people .",noHate,"ignore the genocide on serbs , turn your back on your own people ."
Then you are a traitor .,noHate,then you are a traitor .
"Ivan Ivanovich Shishkin , January 25 , 1832 March 20 , 1898 ( Иван Иванович Шишкин ) Felling of Forest , 1867 Landscape with a Lake At the Seashore , 1890 ( sketch ) Birch Grove , 1896 View at a Neighborhood of Petersburg , 1856 Swiss Landscape , 1866 Forest on the Eve of Thunderstorm , 1872 Oak Forest in a Grey day , 1873 ( sketch ) Swamp .",noHate,"ivan ivanovich shishkin , january  ,  march  ,       felling of forest ,  landscape with a lake at the seashore ,   sketch  birch grove ,  view at a neighborhood of petersburg ,  swiss landscape ,  forest on the eve of thunderstorm ,  oak forest in a grey day ,   sketch  swamp ."
"Woodlands , 1890 Rain in an Oak Forest , 1891",noHate,"woodlands ,  rain in an oak forest ,"
"Finns mixed with swedes and got blond hair and blue eyes , but ethnical finn look like tatar : dark hair , dark eyes , short height , round face .",noHate,"finns mixed with swedes and got blond hair and blue eyes , but ethnical finn look like tatar  dark hair , dark eyes , short height , round face ."
The reasons : Alcoholism takes around 150000 lives every year .,noHate,the reasons  alcoholism takes around  lives every year .
Aids - around 20000 every year .,noHate,aids  around  every year .
Emmigration - around 50000-100000 per year .,noHate,emmigration  around  per year .
